x0,x1,x2,label
1.0,2.312299679689158,1.3896789884085061,1.0
1.0,2.7926470612587626,0.44006397504962597,1.0
1.0,5.335829544110791,1.176931135830573,1.0
1.0,4.266351048238493,-1.376113262495015,1.0
1.0,3.0920827617776387,-0.38035206050003956,1.0
1.0,3.854142753363199,-2.2525125710161302,1.0
1.0,3.606011379062063,-1.191278453387312,1.0
1.0,3.189456235314115,1.0030247181779115,1.0
1.0,2.8092548503407206,0.17531910511416637,1.0
1.0,2.644311919554551,1.212293118686696,1.0
1.0,0.17328841162354935,-0.9275625213273908,1.0
1.0,4.142308448178104,-0.5959883116298028,1.0
1.0,2.730760455726702,-0.2766145748540486,1.0
1.0,1.9197881266888612,0.8149933343222734,1.0
1.0,3.5914404693504878,-0.08388982865502206,1.0
1.0,3.51488100482829,-0.17380036286871728,1.0
1.0,3.0488410309013037,-0.8392756738116416,1.0
1.0,2.811468730990654,-1.2418207335479403,1.0
1.0,1.5825712175625095,-0.9118902608876877,1.0
1.0,3.408528675708916,0.5250464822762579,1.0
1.0,0.8615838345436515,-0.7487759714915552,1.0
1.0,3.2765099317589903,0.568456462087236,1.0
1.0,5.036294292589853,-0.6053153424751991,1.0
1.0,3.717765746788649,0.7581592566759655,1.0
1.0,2.8751958120845154,0.6126162748129726,1.0
1.0,1.827234348642625,-0.10375999210174934,1.0
1.0,4.6020279863062665,-0.7526644566326945,1.0
1.0,3.7072297902607056,-0.8937498648264979,1.0
1.0,3.705246240595377,1.5143018629981642,1.0
1.0,3.6045075183426283,0.5237876659439518,1.0
1.0,3.35695447573291,0.04626724379925096,1.0
1.0,3.070771178686209,-1.3176863223154762,1.0
1.0,3.1353223041080596,1.2440862473292302,1.0
1.0,3.717514554611608,-0.9963607135757757,1.0
1.0,2.1789459383612315,0.6896278331643414,1.0
1.0,2.7443506741485746,0.9486685801379999,1.0
1.0,3.9689477335480303,0.06979228027219353,1.0
1.0,5.059446769405497,-0.8241866517139961,1.0
1.0,3.6788143089426515,0.7919925274557251,1.0
1.0,2.899279491504604,0.8451559680573901,1.0
